Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Rwanda,RWA,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.5176327523308
Rwanda,RWA,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,68.7880016214025
Rwanda,RWA,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,68.0989055533036
Rwanda,RWA,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.4908796108634
Rwanda,RWA,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.4369679773004
Rwanda,RWA,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.342521280908
Rwanda,RWA,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.2075395216863
Rwanda,RWA,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.0052695581678
Rwanda,RWA,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.1268747466559
Rwanda,RWA,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.694770976895
Rwanda,RWA,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.9112282124037
Rwanda,RWA,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.6274827725983
Rwanda,RWA,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.0599918929874
Rwanda,RWA,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.7357113903527
Rwanda,RWA,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.3303607620592
Rwanda,RWA,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.9250101337657
Rwanda,RWA,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.5196595054722
Rwanda,RWA,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.1143088771788
Rwanda,RWA,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.7089582488853
Rwanda,RWA,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.3036076205918
Rwanda,RWA,2023,Arable land (% of land area),AG.LND.ARBL.ZS,46.9830158086745
Rwanda,RWA,2022,Arable land (% of land area),AG.LND.ARBL.ZS,50.2005391163356
Rwanda,RWA,2021,Arable land (% of land area),AG.LND.ARBL.ZS,51.4146736927442
Rwanda,RWA,2020,Arable land (% of land area),AG.LND.ARBL.ZS,49.2338873125253
Rwanda,RWA,2019,Arable land (% of land area),AG.LND.ARBL.ZS,48.3177948925821
Rwanda,RWA,2018,Arable land (% of land area),AG.LND.ARBL.ZS,50.060802594244
Rwanda,RWA,2017,Arable land (% of land area),AG.LND.ARBL.ZS,52.2496959870288
Rwanda,RWA,2016,Arable land (% of land area),AG.LND.ARBL.ZS,52.2091609241994
Rwanda,RWA,2015,Arable land (% of land area),AG.LND.ARBL.ZS,52.2091609241994
Rwanda,RWA,2014,Arable land (% of land area),AG.LND.ARBL.ZS,52.1686258613701
Rwanda,RWA,2013,Arable land (% of land area),AG.LND.ARBL.ZS,51.1147142278071
Rwanda,RWA,2012,Arable land (% of land area),AG.LND.ARBL.ZS,50.060802594244
Rwanda,RWA,2011,Arable land (% of land area),AG.LND.ARBL.ZS,49.0474260235103
Rwanda,RWA,2010,Arable land (% of land area),AG.LND.ARBL.ZS,47.9935143899473
Rwanda,RWA,2009,Arable land (% of land area),AG.LND.ARBL.ZS,46.9396027563843
Rwanda,RWA,2008,Arable land (% of land area),AG.LND.ARBL.ZS,45.8856911228212
Rwanda,RWA,2007,Arable land (% of land area),AG.LND.ARBL.ZS,45.8046209971625
Rwanda,RWA,2006,Arable land (% of land area),AG.LND.ARBL.ZS,45.6830158086745
Rwanda,RWA,2005,Arable land (% of land area),AG.LND.ARBL.ZS,45.5614106201865
Rwanda,RWA,2004,Arable land (% of land area),AG.LND.ARBL.ZS,45.4398054316984
Rwanda,RWA,2003,Arable land (% of land area),AG.LND.ARBL.ZS,45.3587353060397
Rwanda,RWA,2002,Arable land (% of land area),AG.LND.ARBL.ZS,45.2371301175517
Rwanda,RWA,2001,Arable land (% of land area),AG.LND.ARBL.ZS,44.5885691122821
Rwanda,RWA,2000,Arable land (% of land area),AG.LND.ARBL.ZS,40.5350628293474
Rwanda,RWA,1999,Arable land (% of land area),AG.LND.ARBL.ZS,35.1033644102148
Rwanda,RWA,1998,Arable land (% of land area),AG.LND.ARBL.ZS,33.2387515200649
Rwanda,RWA,1997,Arable land (% of land area),AG.LND.ARBL.ZS,32.4280502634779
Rwanda,RWA,1996,Arable land (% of land area),AG.LND.ARBL.ZS,30.4012971220105
Rwanda,RWA,1995,Arable land (% of land area),AG.LND.ARBL.ZS,28.3745439805432
Rwanda,RWA,1994,Arable land (% of land area),AG.LND.ARBL.ZS,28.3745439805432
Rwanda,RWA,1993,Arable land (% of land area),AG.LND.ARBL.ZS,34.4548034049453
Rwanda,RWA,1992,Arable land (% of land area),AG.LND.ARBL.ZS,35.6708552898257
Rwanda,RWA,1991,Arable land (% of land area),AG.LND.ARBL.ZS,35.6708552898257
Rwanda,RWA,1990,Arable land (% of land area),AG.LND.ARBL.ZS,35.6708552898257
Rwanda,RWA,1989,Arable land (% of land area),AG.LND.ARBL.ZS,34.4548034049453
Rwanda,RWA,1988,Arable land (% of land area),AG.LND.ARBL.ZS,34.4142683421159
Rwanda,RWA,1987,Arable land (% of land area),AG.LND.ARBL.ZS,34.1305229023105
Rwanda,RWA,1986,Arable land (% of land area),AG.LND.ARBL.ZS,33.8062423996757
Rwanda,RWA,1985,Arable land (% of land area),AG.LND.ARBL.ZS,33.5224969598703
